"Customer_No","HouseNumber","Street","Town","County","PostCode","Region"
1046,"166","High Street","Grantham","South Yorkshire","LS1  5GH","North West"
1026,"2","Main Street","Grantham","Derbyshire","NG24-8NP","North East"
1120,"66","High Street","Derby","South Yorkshire","ng1 4ef","Yorkshire"
1237,"196","King Street","Lincoln","Lincolnshire","NG24 8NP","Yorkshire"
1094,"7","Victoria Road","gainsborough","South Yorkshire","YO1  6JK","West Midlands "
1178,"172","Park Avenue","Gainsborough","lincolnshire","LS15GH","West Midlands"
1244,"10","Park Avenue","Grantham","Lincolnshire","NG1 4EF","North West"
1096,"21","King Street","Doncaster","South Yorkshire","DN1  7LM","Yorkshire"
1070,"129","Church Lane","Doncaster","DERBYSHIRE","LN2 3BB","West Midlands"
1006,"35","Church Lane","York","Derbyshire","LN2 3BB"," Yorkshire"
1053,"163","Station Road ","Sheffield","North Yorkshire","NG14EF","West Midlands"
1070,"27","High Street","York","Derbyshire","DE13CD","West Midlands"
1223,"5","Market Place","Gainsborough","South Yorkshire","YO1  6JK","East Midlands"
1070,"53","Main Street","Lincoln","Derbyshire","NG24  8NP","East Midlands"
1022,"35","King Street","York","Derbyshire","LN23BB","East Midlands"
1101,"27","Church Lane","Leeds","nottinghamshire","S1  2AB","West Midlands"
1094,"88","Main Street","Doncaster","North Yorkshire","YO1  6JK","East Midlands"
1098,"22B","King Street ","Derby","Lincolnshire","","yorkshire"
1139,"4","Park Avenue","Gainsborough","Lincolnshire","DN1  7LM","West Midlands"
1161,"101C","Victoria Road","Lincoln","Lincolnshire","dn1 7lm","North East"
1232,"37","Park Avenue","lincoln","Derbyshire","LN23BB","East Midlands"
1145,"160","Market Place","Derby","south yorkshire","ng31 9qr","North West"
1250,"136","High Street","Doncaster","Nottinghamshire","DN1  7LM","North West"
1015,"177","Queen Street","Nottingham","North Yorkshire","NG1 4EF","East Midlands"
1044,"7 A","King Street","York","Derbyshire","NG1 4EF","North East "
1200,"21","Victoria Road"," Lincoln","South Yorkshire","ls1 5gh","Yorkshire"
1144,"41","Queen Street","Grantham","Lincolnshire","YO1 6JK","West Midlands "
1142,"41","Park Avenue","Doncaster","","LN23BB","Yorkshire"
1054,"76","Main Street","Lincoln","NOTTINGHAMSHIRE","NG1 4EF","North West"
1072,"13","High Street","Gainsborough","Derbyshire","S1 2AB","NORTH WEST"
1211,"35","Queen Street","York","Lincolnshire","ng1 4ef","North West"
1026,"194","HIGH STREET","Gainsborough","Lincolnshire","","North West"
1087,"97","High Street","Derby","Nottinghamshire ","LS1  5GH","Yorkshire"
1048,"191","Victoria Road","Leeds","Lincolnshire","NG24 8NP","North West"
1118,"41","Main Street","Doncaster","North Yorkshire","LN1-1AA","North East"
1165,"5","King Street","York","Derbyshire ","NG1  4EF","East Midlands"
1245,"178","MAIN STREET","Derby","Lincolnshire","LS1  5GH","North West"
1111,"49","Main Street","Sheffield","Lincolnshire","LS1 5GH","West Midlands"
1103,"14","Station Road","Derby","Unknown","DN1-7LM","North East"
1098,"61","main street","Derby","Derbyshire","DN1-7LM","West Midlands"
1010,"105","Church Lane","Leeds","South Yorkshire","LN2  3BB","North West"
1192,"105","Victoria Road","Nottingham","Derbyshire","DE1  3CD","North East"
1063,"76","Mill Road","Grantham","Derbyshire","DN1-7LM","Yorkshire"
1129,"161","Market Place","Lincoln","South Yorkshire","s1 2ab","West Midlands"
1152,"110","King Street","Derby","Derbyshire","NG31-9QR","East Midlands"
1188,"64","Market Place","Leeds","Derbyshire",".","North West"
1175,"71","Main Street","Sheffield","North Yorkshire","DE1-3CD","West Midlands"
1016,"21","Park Avenue","YORK","South Yorkshire","NG14EF","West Midlands"
1172,"11","Market Place","Lincoln",".","NG31 9QR","Yorkshire"
1169,"46","Victoria Road","Gainsborough","Lincolnshire","S12AB","WEST MIDLANDS"
1033,"30","Park Avenue","Doncaster","Derbyshire","NG248NP","North West"
1094,"57","Victoria Road","Lincoln","North Yorkshire","S12AB","North East"
1057,"101","King Street"," Sheffield","South Yorkshire","LN1  1AA","East Midlands"
1207,"144","Station Road","Lincoln","DERBYSHIRE","DE1  3CD","North West"
1037,"137","Main Street","LEEDS","Lincolnshire","YO1 6JK","Yorkshire"
1089,"69","Victoria Road","Lincoln","Lincolnshire","NG24  8NP","NORTH EAST"
1168,"181","Market Place","Derby","North Yorkshire","NG248NP","Yorkshire"
1103,"52","Church Lane ","Sheffield","South Yorkshire","ln2 3bb","Yorkshire"
1022,"128","Park Avenue","Newark","south yorkshire","DN1  7LM","West Midlands"
1144,"55","Market Place","Doncaster","South Yorkshire","NULL","West Midlands"
1059,"166","Station Road","Leeds","North Yorkshire","S1 2AB","North West "
1240,"82","Park Avenue","York","North Yorkshire","LS1  5GH","North West"
1145,"155","Park Avenue","Nottingham","North Yorkshire","DN1  7LM","west midlands"
1183,"155","Queen Street","York","nottinghamshire","NG319QR","East Midlands"
1007,"75","King Street"," Nottingham","North Yorkshire","S12AB","West Midlands"
1067,"51","Mill Road","Lincoln","North Yorkshire","NG31-9QR","West Midlands"
1135,"173","Victoria Road","Gainsborough","Derbyshire","Unknown","East Midlands"
1218,"135","Victoria Road","Lincoln","South Yorkshire","N/A","East Midlands"
1070,"90","Station Road","Newark","Nottinghamshire","NG31-9QR","West Midlands"
1218,"168","King Street"," Lincoln"," Lincolnshire","LN1 1AA","West Midlands"
1098,"13","Market Place","Newark","Nottinghamshire","dn1 7lm","East Midlands"
