"Customer_No","HouseNumber","Street","Town","County","PostCode","Region"
1061,"132","King Street","Lincoln","Lincolnshire","","North East"
1232,"10","Victoria Road","York","Nottinghamshire","DE1  3CD","Yorkshire"
1048,"80","High Street","Sheffield","South Yorkshire","LN2  3BB","North West"
1108,"96","Victoria Road","Sheffield","derbyshire","dn1 7lm","North West"
1022,"122","Park Avenue","Newark","Nottinghamshire","DN1  7LM","Yorkshire"
1082,"22","Victoria Road","Derby","Derbyshire","S1  2AB","West Midlands"
1059,"14","Market Place","Newark","Derbyshire ","DN1  7LM","North East"
1088,"30","Mill Road","Lincoln","North Yorkshire","NG24  8NP","Yorkshire"
1247,"23","Victoria Road","Gainsborough","Nottinghamshire","NG24 8NP","East Midlands"
1241,"139","King Street","York","South Yorkshire","NG319QR","West Midlands"
1076,"113","High Street","Derby"," South Yorkshire","NG24-8NP","East Midlands"
1170,"68","High Street ","York","Unknown","ng31 9qr","North East"
1042,"106","station road","Grantham ","Derbyshire","ng31 9qr","North West"
1070,"73","King Street","Grantham","Derbyshire","DN1  7LM","Yorkshire"
1077,"3","Station Road","Sheffield","South Yorkshire","YO1 6JK","YORKSHIRE"
1185,"75","High Street","york","North Yorkshire","NG1 4EF","North East"
1152,"49","Park Avenue","Derby","Derbyshire","LS1-5GH","North East"
1237,"88","Main Street","lincoln","Nottinghamshire","DE1 3CD","North East"
1044,"91","Park Avenue","Newark"," South Yorkshire","de1 3cd","East Midlands"
1183,"104","Station Road","Grantham","North Yorkshire","","Yorkshire"
1154,"170","Main Street","gainsborough","Nottinghamshire","NG31-9QR","East Midlands"
1092,"59","Market Place","Gainsborough","North Yorkshire","NG319QR","North West"
1046,"121","Mill Road","Derby","Derbyshire","DE1-3CD","North East"
1189,"139","King Street","Gainsborough","Derbyshire","YO1-6JK","West Midlands"
1237,"109","King Street","Doncaster","South Yorkshire","NG1  4EF"," North East"
1051,"165","High Street","Lincoln","Nottinghamshire","S1  2AB","North West"
1207,"43","Mill Road","nottingham","North Yorkshire","NG24  8NP","Yorkshire"
1127,"4","Church Lane","Sheffield","South Yorkshire","S1  2AB","East Midlands"
1139,"61","Main Street"," Derby","North Yorkshire","LS1-5GH","North West"
1223,"23","Market Place","York","Derbyshire","LN1 1AA","West Midlands"
1145,"29","Victoria Road","Sheffield","Lincolnshire","de1 3cd","North East"
1114,"109","Park Avenue","Derby","South Yorkshire","S12AB","East Midlands"
1090,"153","Church Lane","gainsborough","Derbyshire","LN11AA","North East"
1249,"81","Mill Road","Derby","Lincolnshire","NG24 8NP","North West"
1171,"111","Market Place ","Sheffield",".","NG31  9QR","West Midlands"
1248,"6","Church Lane","Derby","NULL","LS15GH","East Midlands"
1013,"37","Park Avenue","Doncaster","South Yorkshire","S1  2AB"," East Midlands"
1040,"125"," Queen Street","Doncaster","Derbyshire","NG1  4EF","Yorkshire"
1009,"144","Church Lane","Doncaster","Derbyshire","LS1-5GH","Yorkshire"
1211,"24","Victoria Road","Derby","South Yorkshire","S1 2AB","Yorkshire"
1154,"110","Mill Road","Sheffield","South Yorkshire","DE1-3CD","West Midlands"
1011,"142","Main Street","Doncaster","North Yorkshire ","NG1-4EF","East Midlands "
1100,"188","Park Avenue","Lincoln","Nottinghamshire","NG24-8NP","North East"
1231,"5","Church Lane","Sheffield","Derbyshire","DN1-7LM","West Midlands"
1161,"133","Victoria Road","York","South Yorkshire","YO1  6JK","North West"
1126,"190"," King Street","Nottingham","North Yorkshire","ng24 8np","North West"
1130,"194","queen street","Grantham","Nottinghamshire","DN1  7LM","Yorkshire"
1168,"99","Park Avenue","Derby","Derbyshire","DN1 7LM","EAST MIDLANDS"
1244,"10","High Street","Grantham","Nottinghamshire","LS1 5GH","East Midlands"
1136,"115","Market Place","Leeds","Derbyshire","LN2  3BB","Yorkshire"
1008,"196","High Street","Doncaster","Lincolnshire","LN11AA","West Midlands"
1004,"58","Station Road","Lincoln","Lincolnshire",".","Yorkshire"
1067,"56","Queen Street","Lincoln","North Yorkshire","ng24 8np","West Midlands"
1070,"198","KING STREET","Doncaster","Lincolnshire","S1  2AB","North East"
1250,"161","Market Place","Grantham","Nottinghamshire","DN1-7LM","Yorkshire"
